type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,NBFC BBB+,5Y,Zero coupon,3.79,3.79,3.79
Rating,FIMMDA,NBFC BBB+,6Y,Zero coupon,3.75,3.75,3.75
Rating,FIMMDA,NBFC BBB+,7Y,Zero coupon,3.73,3.73,3.73
Rating,FIMMDA,NBFC BBB+,8Y,Zero coupon,3.76,3.76,3.76
Rating,FIMMDA,NBFC BBB+,9Y,Zero coupon,3.76,3.76,3.76
Rating,FIMMDA,NBFC BBB+,10Y,Zero coupon,3.75,3.75,3.75
Rating,FIMMDA,NBFC BBB,6M,Zero coupon,3.88,3.88,3.88
Rating,FIMMDA,NBFC BBB,1Y,Zero coupon,3.79,3.79,3.79
Rating,FIMMDA,NBFC BBB,2Y,Zero coupon,3.92,3.92,3.92
Rating,FIMMDA,NBFC BBB,3Y,Zero coupon,4.0,4.0,4.0
Rating,FIMMDA,NBFC BBB,4Y,Zero coupon,4.02,4.02,4.02
Rating,FIMMDA,NBFC BBB,5Y,Zero coupon,4.04,4.04,4.04
Rating,FIMMDA,NBFC BBB,6Y,Zero coupon,4.0,4.0,4.0
Rating,FIMMDA,NBFC BBB,7Y,Zero coupon,3.98,3.98,3.98
Rating,FIMMDA,NBFC BBB,8Y,Zero coupon,4.02,4.02,4.02
Rating,FIMMDA,NBFC BBB,9Y,Zero coupon,4.01,4.01,4.01
Rating,FIMMDA,NBFC BBB,10Y,Zero coupon,4.0,4.0,4.0
Rating,FIMMDA,NBFC BBB-,6M,Zero coupon,4.38,4.38,4.38
Rating,FIMMDA,NBFC BBB-,1Y,Zero coupon,4.29,4.29,4.29
Rating,FIMMDA,NBFC BBB-,2Y,Zero coupon,4.42,4.42,4.42
Rating,FIMMDA,NBFC BBB-,3Y,Zero coupon,4.5,4.5,4.5
Rating,FIMMDA,NBFC BBB-,4Y,Zero coupon,4.52,4.52,4.52
Rating,FIMMDA,NBFC BBB-,5Y,Zero coupon,4.54,4.54,4.54
Rating,FIMMDA,NBFC BBB-,6Y,Zero coupon,4.5,4.5,4.5
Rating,FIMMDA,NBFC BBB-,7Y,Zero coupon,4.48,4.48,4.48
Rating,FIMMDA,NBFC BBB-,8Y,Zero coupon,4.52,4.52,4.52
Rating,FIMMDA,NBFC BBB-,9Y,Zero coupon,4.52,4.52,4.52
Rating,FIMMDA,NBFC BBB-,10Y,Zero coupon,4.5,4.5,4.5
Rating,FIMMDA,NBFC BB+,6M,Zero coupon,4.881,4.881,4.881
Rating,FIMMDA,NBFC BB+,1Y,Zero coupon,4.79,4.79,4.79
Rating,FIMMDA,NBFC BB+,2Y,Zero coupon,4.92,4.92,4.92
Rating,FIMMDA,NBFC BB+,3Y,Zero coupon,5.0,5.0,5.0
Rating,FIMMDA,NBFC BB+,4Y,Zero coupon,5.02,5.02,5.02
Rating,FIMMDA,NBFC BB+,5Y,Zero coupon,5.04,5.04,5.04
Rating,FIMMDA,NBFC BB+,6Y,Zero coupon,5.0,5.0,5.0
Rating,FIMMDA,NBFC BB+,7Y,Zero coupon,4.98,4.98,4.98
Rating,FIMMDA,NBFC BB+,8Y,Zero coupon,5.02,5.02,5.02
Rating,FIMMDA,NBFC BB+,9Y,Zero coupon,5.03,5.03,5.03
Rating,FIMMDA,NBFC BB+,10Y,Zero coupon,5.0,5.0,5.0
Rating,FIMMDA,NBFC BB,6M,Zero coupon,5.381,5.381,5.381
Rating,FIMMDA,NBFC BB,1Y,Zero coupon,5.29,5.29,5.29
Rating,FIMMDA,NBFC BB,2Y,Zero coupon,5.42,5.42,5.42
Rating,FIMMDA,NBFC BB,3Y,Zero coupon,5.5,5.5,5.5
Rating,FIMMDA,NBFC BB,4Y,Zero coupon,5.52,5.52,5.52
Rating,FIMMDA,NBFC BB,5Y,Zero coupon,5.54,5.54,5.54
Rating,FIMMDA,NBFC BB,6Y,Zero coupon,5.5,5.5,5.5
Rating,FIMMDA,NBFC BB,7Y,Zero coupon,5.48,5.48,5.48
Rating,FIMMDA,NBFC BB,8Y,Zero coupon,5.52,5.52,5.52
Rating,FIMMDA,NBFC BB,9Y,Zero coupon,5.54,5.54,5.54
Rating,FIMMDA,NBFC BB,10Y,Zero coupon,5.5,5.5,5.5
Rating,FIMMDA,NBFC Unrated,6M,Zero coupon,5.476,5.476,5.476
