type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,NBFC,8Y,Asset Swap,376,376,376
Rating,FIMMDA,NBFC,9Y,Asset Swap,376,376,376
Rating,FIMMDA,NBFC,10Y,Asset Swap,375,375,375
Rating,FIMMDA,NBFC,6M,Asset Swap,363,363,363
Rating,FIMMDA,NBFC,1Y,Asset Swap,354,354,354
Rating,FIMMDA,NBFC,2Y,Asset Swap,367,367,367
Rating,FIMMDA,NBFC,3Y,Asset Swap,375,375,375
Rating,FIMMDA,NBFC,4Y,Asset Swap,377,377,377
Rating,FIMMDA,NBFC,5Y,Asset Swap,379,379,379
Rating,FIMMDA,NBFC,6Y,Asset Swap,375,375,375
Rating,FIMMDA,NBFC,7Y,Asset Swap,373,373,373
Rating,FIMMDA,NBFC,8Y,Asset Swap,376,376,376
Rating,FIMMDA,NBFC,9Y,Asset Swap,376,376,376
Rating,FIMMDA,NBFC,10Y,Asset Swap,375,375,375
Rating,FIMMDA,NBFC,6M,Asset Swap,388,388,388
Rating,FIMMDA,NBFC,1Y,Asset Swap,379,379,379
Rating,FIMMDA,NBFC,2Y,Asset Swap,392,392,392
Rating,FIMMDA,NBFC,3Y,Asset Swap,400,400,400
Rating,FIMMDA,NBFC,4Y,Asset Swap,402,402,402
Rating,FIMMDA,NBFC,5Y,Asset Swap,404,404,404
Rating,FIMMDA,NBFC,6Y,Asset Swap,400,400,400
Rating,FIMMDA,NBFC,7Y,Asset Swap,398,398,398
Rating,FIMMDA,NBFC,8Y,Asset Swap,402,402,402
Rating,FIMMDA,NBFC,9Y,Asset Swap,401,401,401
Rating,FIMMDA,NBFC,10Y,Asset Swap,400,400,400
Rating,FIMMDA,NBFC,6M,Asset Swap,438,438,438
Rating,FIMMDA,NBFC,1Y,Asset Swap,429,429,429
Rating,FIMMDA,NBFC,2Y,Asset Swap,442,442,442
Rating,FIMMDA,NBFC,3Y,Asset Swap,450,450,450
Rating,FIMMDA,NBFC,4Y,Asset Swap,452,452,452
Rating,FIMMDA,NBFC,5Y,Asset Swap,454,454,454
Rating,FIMMDA,NBFC,6Y,Asset Swap,450,450,450
Rating,FIMMDA,NBFC,7Y,Asset Swap,448,448,448
Rating,FIMMDA,NBFC,8Y,Asset Swap,452,452,452
Rating,FIMMDA,NBFC,9Y,Asset Swap,452,452,452
Rating,FIMMDA,NBFC,10Y,Asset Swap,450,450,450
Rating,FIMMDA,NBFC,6M,Asset Swap,488.1,488.1,488.1
Rating,FIMMDA,NBFC,1Y,Asset Swap,479.0,479.0,479.0
Rating,FIMMDA,NBFC,2Y,Asset Swap,492.0,492.0,492.0
Rating,FIMMDA,NBFC,3Y,Asset Swap,500.0,500.0,500.0
Rating,FIMMDA,NBFC,4Y,Asset Swap,502.0,502.0,502.0
Rating,FIMMDA,NBFC,5Y,Asset Swap,504.0,504.0,504.0
Rating,FIMMDA,NBFC,6Y,Asset Swap,500.0,500.0,500.0
Rating,FIMMDA,NBFC,7Y,Asset Swap,498.0,498.0,498.0
Rating,FIMMDA,NBFC,8Y,Asset Swap,502.0,502.0,502.0
Rating,FIMMDA,NBFC,9Y,Asset Swap,503.0,503.0,503.0
Rating,FIMMDA,NBFC,10Y,Asset Swap,500.0,500.0,500.0
Rating,FIMMDA,NBFC,6M,Asset Swap,538.1,538.1,538.1
Rating,FIMMDA,NBFC,1Y,Asset Swap,529.0,529.0,529.0
Rating,FIMMDA,NBFC,2Y,Asset Swap,542.0,542.0,542.0
Rating,FIMMDA,NBFC,3Y,Asset Swap,550.0,550.0,550.0
Rating,FIMMDA,NBFC,4Y,Asset Swap,552.0,552.0,552.0
Rating,FIMMDA,NBFC,5Y,Asset Swap,554.0,554.0,554.0
Rating,FIMMDA,NBFC,6Y,Asset Swap,550.0,550.0,550.0
Rating,FIMMDA,NBFC,7Y,Asset Swap,548.0,548.0,548.0
Rating,FIMMDA,NBFC,8Y,Asset Swap,552.0,552.0,552.0
Rating,FIMMDA,NBFC,9Y,Asset Swap,554.0,554.0,554.0
Rating,FIMMDA,NBFC,10Y,Asset Swap,550.0,550.0,550.0
Rating,FIMMDA,NBFC,6M,Asset Swap,547.6,547.6,547.6
Rating,FIMMDA,NBFC,1Y,Asset Swap,536.3,536.3,536.3
Rating,FIMMDA,NBFC,2Y,Asset Swap,552.5,552.5,552.5
Rating,FIMMDA,NBFC,3Y,Asset Swap,562.5,562.5,562.5
Rating,FIMMDA,NBFC,4Y,Asset Swap,565.0,565.0,565.0
Rating,FIMMDA,NBFC,5Y,Asset Swap,567.5,567.5,567.5
Rating,FIMMDA,NBFC,6Y,Asset Swap,562.5,562.5,562.5
Rating,FIMMDA,NBFC,7Y,Asset Swap,560.0,560.0,560.0
Rating,FIMMDA,NBFC,8Y,Asset Swap,565.0,565.0,565.0
Rating,FIMMDA,NBFC,9Y,Asset Swap,565.0,565.0,565.0
Rating,FIMMDA,NBFC,10Y,Asset Swap,562.5,562.5,562.5
Rating,FIMMDA,CORP,6M,Asset Swap,77,77,77
Rating,FIMMDA,CORP,1Y,Asset Swap,68,68,68
Rating,FIMMDA,CORP,2Y,Asset Swap,84,84,84
Rating,FIMMDA,CORP,3Y,Asset Swap,95,95,95
Rating,FIMMDA,CORP,4Y,Asset Swap,97,97,97
Rating,FIMMDA,CORP,5Y,Asset Swap,100,100,100
Rating,FIMMDA,CORP,6Y,Asset Swap,97,97,97
Rating,FIMMDA,CORP,7Y,Asset Swap,93,93,93
Rating,FIMMDA,CORP,8Y,Asset Swap,95,95,95
Rating,FIMMDA,CORP,9Y,Asset Swap,95,95,95
Rating,FIMMDA,CORP,10Y,Asset Swap,95,95,95
Rating,FIMMDA,CORP,6M,Asset Swap,106,106,106
Rating,FIMMDA,CORP,1Y,Asset Swap,97,97,97
Rating,FIMMDA,CORP,2Y,Asset Swap,111,111,111
Rating,FIMMDA,CORP,3Y,Asset Swap,121,121,121
Rating,FIMMDA,CORP,4Y,Asset Swap,123,123,123
Rating,FIMMDA,CORP,5Y,Asset Swap,124,124,124
Rating,FIMMDA,CORP,6Y,Asset Swap,121,121,121
Rating,FIMMDA,CORP,7Y,Asset Swap,119,119,119
Rating,FIMMDA,CORP,8Y,Asset Swap,122,122,122
Rating,FIMMDA,CORP,9Y,Asset Swap,123,123,123
Rating,FIMMDA,CORP,10Y,Asset Swap,123,123,123
Rating,FIMMDA,CORP,6M,Asset Swap,131,131,131
Rating,FIMMDA,CORP,1Y,Asset Swap,123,123,123
Rating,FIMMDA,CORP,2Y,Asset Swap,137,137,137
Rating,FIMMDA,CORP,3Y,Asset Swap,146,146,146
Rating,FIMMDA,CORP,4Y,Asset Swap,149,149,149
Rating,FIMMDA,CORP,5Y,Asset Swap,152,152,152
Rating,FIMMDA,CORP,6Y,Asset Swap,149,149,149
Rating,FIMMDA,CORP,7Y,Asset Swap,146,146,146
Rating,FIMMDA,CORP,8Y,Asset Swap,148,148,148
Rating,FIMMDA,CORP,9Y,Asset Swap,149,149,149
Rating,FIMMDA,CORP,10Y,Asset Swap,148,148,148
Rating,FIMMDA,CORP,6M,Asset Swap,166,166,166
Rating,FIMMDA,CORP,1Y,Asset Swap,157,157,157
Rating,FIMMDA,CORP,2Y,Asset Swap,168,168,168
Rating,FIMMDA,CORP,3Y,Asset Swap,174,174,174
Rating,FIMMDA,CORP,4Y,Asset Swap,180,180,180
Rating,FIMMDA,CORP,5Y,Asset Swap,188,188,188
Rating,FIMMDA,CORP,6Y,Asset Swap,186,186,186
Rating,FIMMDA,CORP,7Y,Asset Swap,184,184,184
Rating,FIMMDA,CORP,8Y,Asset Swap,189,189,189
Rating,FIMMDA,CORP,9Y,Asset Swap,190,190,190
Rating,FIMMDA,CORP,10Y,Asset Swap,192,192,192
Rating,FIMMDA,CORP,6M,Asset Swap,266,266,266
Rating,FIMMDA,CORP,1Y,Asset Swap,257,257,257
Rating,FIMMDA,CORP,2Y,Asset Swap,268,268,268
Rating,FIMMDA,CORP,3Y,Asset Swap,275,275,275
Rating,FIMMDA,CORP,4Y,Asset Swap,281,281,281
Rating,FIMMDA,CORP,5Y,Asset Swap,288,288,288
Rating,FIMMDA,CORP,6Y,Asset Swap,286,286,286
Rating,FIMMDA,CORP,7Y,Asset Swap,285,285,285
Rating,FIMMDA,CORP,8Y,Asset Swap,290,290,290
Rating,FIMMDA,CORP,9Y,Asset Swap,291,291,291
Rating,FIMMDA,CORP,10Y,Asset Swap,293,293,293
Rating,FIMMDA,CORP A,6M,Asset Swap,291,291,291
Rating,FIMMDA,CORP A,1Y,Asset Swap,282,282,282
Rating,FIMMDA,CORP A,2Y,Asset Swap,293,293,293
Rating,FIMMDA,CORP A,3Y,Asset Swap,300,300,300
Rating,FIMMDA,CORP A,4Y,Asset Swap,306,306,306
Rating,FIMMDA,CORP A,5Y,Asset Swap,313,313,313
Rating,FIMMDA,CORP A,6Y,Asset Swap,311,311,311
Rating,FIMMDA,CORP A,7Y,Asset Swap,310,310,310
Rating,FIMMDA,CORP A,8Y,Asset Swap,316,316,316
Rating,FIMMDA,CORP A,9Y,Asset Swap,316,316,316
Rating,FIMMDA,CORP A,10Y,Asset Swap,318,318,318
Rating,FIMMDA,CORP,6M,Asset Swap,341,341,341
Rating,FIMMDA,CORP,1Y,Asset Swap,332,332,332
Rating,FIMMDA,CORP,2Y,Asset Swap,343,343,343
Rating,FIMMDA,CORP,3Y,Asset Swap,350,350,350
Rating,FIMMDA,CORP,4Y,Asset Swap,356,356,356
Rating,FIMMDA,CORP,5Y,Asset Swap,363,363,363
