type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,CORP A-,1Y,Zero coupon,332,332,332
Rating,FIMMDA,CORP A-,2Y,Zero coupon,343,343,343
Rating,FIMMDA,CORP A-,3Y,Zero coupon,350,350,350
Rating,FIMMDA,CORP A-,4Y,Zero coupon,356,356,356
Rating,FIMMDA,CORP A-,5Y,Zero coupon,363,363,363
Rating,FIMMDA,CORP A-,6Y,Zero coupon,362,362,362
Rating,FIMMDA,CORP A-,7Y,Zero coupon,361,361,361
Rating,FIMMDA,CORP A-,8Y,Zero coupon,367,367,367
Rating,FIMMDA,CORP A-,9Y,Zero coupon,366,366,366
Rating,FIMMDA,CORP A-,10Y,Zero coupon,369,369,369
Rating,FIMMDA,CORP BBB+,6M,Zero coupon,341,341,341
Rating,FIMMDA,CORP BBB+,1Y,Zero coupon,332,332,332
Rating,FIMMDA,CORP BBB+,2Y,Zero coupon,343,343,343
Rating,FIMMDA,CORP BBB+,3Y,Zero coupon,350,350,350
Rating,FIMMDA,CORP BBB+,4Y,Zero coupon,356,356,356
Rating,FIMMDA,CORP BBB+,5Y,Zero coupon,363,363,363
Rating,FIMMDA,CORP BBB+,6Y,Zero coupon,362,362,362
Rating,FIMMDA,CORP BBB+,7Y,Zero coupon,361,361,361
Rating,FIMMDA,CORP BBB+,8Y,Zero coupon,367,367,367
Rating,FIMMDA,CORP BBB+,9Y,Zero coupon,366,366,366
Rating,FIMMDA,CORP BBB+,10Y,Zero coupon,369,369,369
Rating,FIMMDA,CORP BBB,6M,Zero coupon,366,366,366
Rating,FIMMDA,CORP BBB,1Y,Zero coupon,357,357,357
Rating,FIMMDA,CORP BBB,2Y,Zero coupon,368,368,368
Rating,FIMMDA,CORP BBB,3Y,Zero coupon,375,375,375
Rating,FIMMDA,CORP BBB,4Y,Zero coupon,381,381,381
Rating,FIMMDA,CORP BBB,5Y,Zero coupon,389,389,389
Rating,FIMMDA,CORP BBB,6Y,Zero coupon,387,387,387
Rating,FIMMDA,CORP BBB,7Y,Zero coupon,386,386,386
Rating,FIMMDA,CORP BBB,8Y,Zero coupon,392,392,392
Rating,FIMMDA,CORP BBB,9Y,Zero coupon,392,392,392
